CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25073761,EMEF MARIA DA LUZ,2009,3.7
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,2005,3.1
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,2007,3.2
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,2009,3.6
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,2011,4.3
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,2013,4.4
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,2015,5.3
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA,2017,6.3
25073796,EMEF NENZINHA CUNHA LIMA,2005,3.2
25073796,EMEF NENZINHA CUNHA LIMA,2007,3.3
25073796,EMEF NENZINHA CUNHA LIMA,2009,4.1
25073796,EMEF NENZINHA CUNHA LIMA,2011,3.2
25073796,EMEF NENZINHA CUNHA LIMA,2013,4
25073796,EMEF NENZINHA CUNHA LIMA,2015,4.4
25073800,EMEF PADRE ANTONINO,2007,2.8
25073800,EMEF PADRE ANTONINO,2009,3.7
25073800,EMEF PADRE ANTONINO,2011,2.9
25073800,EMEF PADRE ANTONINO,2013,4.3
25073800,EMEF PADRE ANTONINO,2015,5
25073800,EMEF PADRE ANTONINO,2017,6.5
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,2005,4.1
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,2007,3.7
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,2009,3.6
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,2011,4.8
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,2013,4.7
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,2015,6.1
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO,2017,5.7
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2005,3.3
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2007,3.6
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2009,4
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2011,5.1
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2013,4.3
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2015,5.2
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2017,5.9
25073850,EMEF RAIMUNDO ASFORA,2007,2.8
25073850,EMEF RAIMUNDO ASFORA,2009,3.2
25073850,EMEF RAIMUNDO ASFORA,2011,3.6
25073850,EMEF RAIMUNDO ASFORA,2013,3.5
25073850,EMEF RAIMUNDO ASFORA,2015,4.4
25073850,EMEF RAIMUNDO ASFORA,2017,4.5
25073877,EMEF RIVANILDO SANDRO ARCOVERDE,2007,3.9
25073877,EMEF RIVANILDO SANDRO ARCOVERDE,2009,3.5
25073877,EMEF RIVANILDO SANDRO ARCOVERDE,2011,4.5
25073877,EMEF RIVANILDO SANDRO ARCOVERDE,2013,4.4
25073877,EMEF RIVANILDO SANDRO ARCOVERDE,2015,5
25073877,EMEF RIVANILDO SANDRO ARCOVERDE,2017,6.1
25073885,EMEF SANTO AFONSO,2005,2.4
25073885,EMEF SANTO AFONSO,2007,4.4
25073885,EMEF SANTO AFONSO,2009,3.6
25073885,EMEF SANTO AFONSO,2011,3.9
25073885,EMEF SANTO AFONSO,2013,4.7
25073885,EMEF SANTO AFONSO,2015,5
25073885,EMEF SANTO AFONSO,2017,4.4
25073958,EMEF PROF JOSE DE ALMEIDA JUNIOR,2005,2.3
25073958,EMEF PROF JOSE DE ALMEIDA JUNIOR,2007,2.8
25073958,EMEF PROF JOSE DE ALMEIDA JUNIOR,2009,3.6
25073958,EMEF PROF JOSE DE ALMEIDA JUNIOR,2013,3.5
25073982,EMEF ALICE GAUDENCIO,2005,2.5
25073982,EMEF ALICE GAUDENCIO,2007,2.8
25073982,EMEF ALICE GAUDENCIO,2009,3.3
25073982,EMEF ALICE GAUDENCIO,2011,3.7
25073982,EMEF ALICE GAUDENCIO,2013,3.5
25073982,EMEF ALICE GAUDENCIO,2015,4.4
25073982,EMEF ALICE GAUDENCIO,2017,5.2
25074024,EMEF ALMEIDA BARRETO,2007,2.4
25074024,EMEF ALMEIDA BARRETO,2011,3.3
25074059,EMEF ANA AZEVEDO,2005,3.1
25074059,EMEF ANA AZEVEDO,2007,4.5
25074059,EMEF ANA AZEVEDO,2009,4.9
25074059,EMEF ANA AZEVEDO,2011,5.1
25074059,EMEF ANA AZEVEDO,2013,3.9
25074059,EMEF ANA AZEVEDO,2015,4.3
25074059,EMEF ANA AZEVEDO,2017,5.9
25074075,EMEF ANESIO LEAO,2005,3
25074075,EMEF ANESIO LEAO,2007,2.8
25074075,EMEF ANESIO LEAO,2009,2.4
25074075,EMEF ANESIO LEAO,2011,3.1
25074075,EMEF ANESIO LEAO,2013,3
25074075,EMEF ANESIO LEAO,2015,2.3
25074075,EMEF ANESIO LEAO,2017,4.2
25074091,EMEF ANIS TIMANI,2005,2.7
25074091,EMEF ANIS TIMANI,2007,2.6
25074091,EMEF ANIS TIMANI,2009,3.6
25074091,EMEF ANIS TIMANI,2011,4.3
25074091,EMEF ANIS TIMANI,2013,3.7
25074091,EMEF ANIS TIMANI,2015,4.1
25074091,EMEF ANIS TIMANI,2017,3.9
25074113,EMEF ANISIO TEIXEIRA,2007,2.8
25074113,EMEF ANISIO TEIXEIRA,2009,3.3
25074113,EMEF ANISIO TEIXEIRA,2011,4.2
25074113,EMEF ANISIO TEIXEIRA,2013,4.6
25074113,EMEF ANISIO TEIXEIRA,2015,3.3
25074148,EMEF APOLONIA AMORIM,2005,2.8
25074148,EMEF APOLONIA AMORIM,2009,3.6
25074148,EMEF APOLONIA AMORIM,2017,5
25074164,EMEF AROLDO CRUZ FILHO,2007,3.6
25074164,EMEF AROLDO CRUZ FILHO,2011,4.5
25074164,EMEF AROLDO CRUZ FILHO,2013,4
25074164,EMEF AROLDO CRUZ FILHO,2017,5.9
25074172,EMEF CENTENARIO,2005,3.1
25074172,EMEF CENTENARIO,2007,3.4
25074172,EMEF CENTENARIO,2015,4.6
25074172,EMEF CENTENARIO,2017,4.9
25074199,EMEF CICERO VIRGINIO,2007,1.9
25074199,EMEF CICERO VIRGINIO,2015,4.4
25074199,EMEF CICERO VIRGINIO,2017,5
25074229,EMEF CRISTINA PROCOPIO,2005,2.5
25074229,EMEF CRISTINA PROCOPIO,2007,3
25074229,EMEF CRISTINA PROCOPIO,2009,3.7
25074229,EMEF CRISTINA PROCOPIO,2011,4
25074229,EMEF CRISTINA PROCOPIO,2013,4.2
25074229,EMEF CRISTINA PROCOPIO,2015,4.2
25074245,EMEF DEP PETRONIO FIGUEREDO,2005,3
25074245,EMEF DEP PETRONIO FIGUEREDO,2007,2.3
25074245,EMEF DEP PETRONIO FIGUEREDO,2009,3.3
25074245,EMEF DEP PETRONIO FIGUEREDO,2017,5.3
25074288,EMEF DR SEVERINO CRUZ,2005,3.1
25074288,EMEF DR SEVERINO CRUZ,2007,3.5
25074288,EMEF DR SEVERINO CRUZ,2009,4.7
25074288,EMEF DR SEVERINO CRUZ,2011,4.8
25074288,EMEF DR SEVERINO CRUZ,2015,5.7
25074288,EMEF DR SEVERINO CRUZ,2017,5.8
25074296,EMEF EPITACIO PESSOA,2005,2.4
25074296,EMEF EPITACIO PESSOA,2007,2.8
25074296,EMEF EPITACIO PESSOA,2009,3.4
25074296,EMEF EPITACIO PESSOA,2011,4.2
25074296,EMEF EPITACIO PESSOA,2013,4.3
25074296,EMEF EPITACIO PESSOA,2015,5.1
25074296,EMEF EPITACIO PESSOA,2017,5.5
25074326,EMEF FELIX ARAUJO,2005,2.9
25074326,EMEF FELIX ARAUJO,2007,3.6
25074326,EMEF FELIX ARAUJO,2009,3.1
25074326,EMEF FELIX ARAUJO,2011,3.6
25074326,EMEF FELIX ARAUJO,2013,4.2
25074326,EMEF FELIX ARAUJO,2015,4.7
25074326,EMEF FELIX ARAUJO,2017,5.3
25074369,EMEF GRACITA MELO,2011,3.6
25074369,EMEF GRACITA MELO,2015,5.1
25074369,EMEF GRACITA MELO,2017,5.5
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,2005,3.3
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,2007,3.6
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,2009,3.3
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,2011,4.7
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,2013,5.1
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,2015,5.7
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES,2017,6.3
25074393,EMEF HELENO HENRIQUES,2007,2.5
25074393,EMEF HELENO HENRIQUES,2009,3.8
25074393,EMEF HELENO HENRIQUES,2011,4.2
25074393,EMEF HELENO HENRIQUES,2013,3.1
25074393,EMEF HELENO HENRIQUES,2015,4.9
25074393,EMEF HELENO HENRIQUES,2017,5.6
25074407,EMEF HENRIQUE G BARBOSA,2005,3.9
25074407,EMEF HENRIQUE G BARBOSA,2007,3.2
25074407,EMEF HENRIQUE G BARBOSA,2009,3
25074407,EMEF HENRIQUE G BARBOSA,2011,4
25074407,EMEF HENRIQUE G BARBOSA,2013,3.7
25074407,EMEF HENRIQUE G BARBOSA,2015,4.6
25074407,EMEF HENRIQUE G BARBOSA,2017,5.5
25074482,EMEF JOSE VIRGINIO DE LIMA,2009,2.6
25074482,EMEF JOSE VIRGINIO DE LIMA,2011,2.9
25074512,EMEF JOSELITA BRASILEIRO,2017,5.2
25074547,EMEF LILIOSA BARRETO,2007,3.8
25074547,EMEF LILIOSA BARRETO,2009,3.7
25074547,EMEF LILIOSA BARRETO,2011,3.2
25074547,EMEF LILIOSA BARRETO,2013,3.5
25074547,EMEF LILIOSA BARRETO,2015,4.1
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,2005,3.2
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,2007,3
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,2009,3.7
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,2011,4.7
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,2013,3.8
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,2015,5.5
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO,2017,6.2
25074580,EMEF LUIS GOMES DA SILVA,2007,3.8
25074580,EMEF LUIS GOMES DA SILVA,2009,4.2
25074580,EMEF LUIS GOMES DA SILVA,2011,4.3
25074580,EMEF LUIS GOMES DA SILVA,2013,4
25074580,EMEF LUIS GOMES DA SILVA,2015,6.3
25074580,EMEF LUIS GOMES DA SILVA,2017,5.6
25074636,EMEF MARECHAL CANDIDO RONDON,2007,3.8
25074636,EMEF MARECHAL CANDIDO RONDON,2009,4.3
25074636,EMEF MARECHAL CANDIDO RONDON,2013,5.2
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,2005,3.2
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,2007,3.8
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,2009,4.5
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,2011,4.3
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,2013,4.5
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,2015,4.7
25074644,EMEF MARIA CANDIDA DE OLIVEIRA,2017,5.5
25074695,EMEF MARIA MINERVINA FIGUEIREDO,2005,2.3
25074695,EMEF MARIA MINERVINA FIGUEIREDO,2007,2.5
25074695,EMEF MARIA MINERVINA FIGUEIREDO,2009,2.9
25074695,EMEF MARIA MINERVINA FIGUEIREDO,2011,4.5
25074695,EMEF MARIA MINERVINA FIGUEIREDO,2017,5
25074717,EMEF MARIINHA BORBOREMA,2005,1.9
25074717,EMEF MARIINHA BORBOREMA,2007,2.8
