CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25072404,EEEFM RUBENS DUTRA II,2013,2.8
25072404,EEEFM RUBENS DUTRA II,2015,2.9
25072404,EEEFM RUBENS DUTRA II,2017,3.6
25072412,EEEFM ESCRITOR VIRGINIUS DA GAMA E MELO,2005,2.2
25072412,EEEFM ESCRITOR VIRGINIUS DA GAMA E MELO,2007,3
25072412,EEEFM ESCRITOR VIRGINIUS DA GAMA E MELO,2009,2.4
25072412,EEEFM ESCRITOR VIRGINIUS DA GAMA E MELO,2011,3.3
25072412,EEEFM ESCRITOR VIRGINIUS DA GAMA E MELO,2013,2.9
25072412,EEEFM ESCRITOR VIRGINIUS DA GAMA E MELO,2015,3.5
25072439,EEEFM DR HORTENSIO DE SOUSA RIBEIRO,2005,2.8
25072439,EEEFM DR HORTENSIO DE SOUSA RIBEIRO,2007,3.2
25072439,EEEFM DR HORTENSIO DE SOUSA RIBEIRO,2009,3.1
25072439,EEEFM DR HORTENSIO DE SOUSA RIBEIRO,2011,3.6
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2007,2.3
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2009,1.9
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2011,3.2
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2013,3.4
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2015,3.5
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2017,3.5
25073648,EMEF FREI DAGOBERTO STUCKER,2009,2.9
25073699,EMEF LAFAYETE CAVALCANTE,2007,2.5
25073699,EMEF LAFAYETE CAVALCANTE,2009,3
25073699,EMEF LAFAYETE CAVALCANTE,2011,2.9
25073699,EMEF LAFAYETE CAVALCANTE,2013,3
25073699,EMEF LAFAYETE CAVALCANTE,2015,3.7
25073745,EMEF MANOEL DA COSTA CIRNE,2007,2
25073745,EMEF MANOEL DA COSTA CIRNE,2009,2.4
25073745,EMEF MANOEL DA COSTA CIRNE,2011,2.2
25073745,EMEF MANOEL DA COSTA CIRNE,2013,2.9
25073745,EMEF MANOEL DA COSTA CIRNE,2015,3.1
25073745,EMEF MANOEL DA COSTA CIRNE,2017,3.6
25073800,EMEF PADRE ANTONINO,2007,3
25073800,EMEF PADRE ANTONINO,2009,3.4
25073800,EMEF PADRE ANTONINO,2011,3.6
25073800,EMEF PADRE ANTONINO,2013,4.1
25073800,EMEF PADRE ANTONINO,2015,4.6
25073800,EMEF PADRE ANTONINO,2017,4.8
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA,2009,1.2
25074113,EMEF ANISIO TEIXEIRA,2017,3.5
25074407,EMEF HENRIQUE G BARBOSA,2009,3.6
25074407,EMEF HENRIQUE G BARBOSA,2011,4
25074407,EMEF HENRIQUE G BARBOSA,2013,3.8
25074407,EMEF HENRIQUE G BARBOSA,2015,4
25074407,EMEF HENRIQUE G BARBOSA,2017,4.2
25074571,EMEF LIONS PRATA,2007,1.6
25074571,EMEF LIONS PRATA,2009,2.2
25074571,EMEF LIONS PRATA,2015,2.9
25074571,EMEF LIONS PRATA,2017,3.4
25075071,EMEF TIRADENTES,2007,2.5
25075071,EMEF TIRADENTES,2009,1.8
25075071,EMEF TIRADENTES,2011,2.5
25075071,EMEF TIRADENTES,2013,2.6
25075071,EMEF TIRADENTES,2015,3.9
25075071,EMEF TIRADENTES,2017,3.2
25076400,EEEFM PROF ANTONIO OLIVEIRA,2005,2.6
25076400,EEEFM PROF ANTONIO OLIVEIRA,2007,2.2
25076400,EEEFM PROF ANTONIO OLIVEIRA,2009,2.6
25076400,EEEFM PROF ANTONIO OLIVEIRA,2011,2.7
25076400,EEEFM PROF ANTONIO OLIVEIRA,2013,2
25076400,EEEFM PROF ANTONIO OLIVEIRA,2015,2.2
25076582,EEEFM IRMA JOAQUINA SAMPAIO,2005,2.1
25076582,EEEFM IRMA JOAQUINA SAMPAIO,2007,2.5
25076582,EEEFM IRMA JOAQUINA SAMPAIO,2009,2.6
25076582,EEEFM IRMA JOAQUINA SAMPAIO,2011,2.4
25076582,EEEFM IRMA JOAQUINA SAMPAIO,2013,2.5
25076590,EEEFM JOSE MIGUEL LEAO,2005,2.1
25076590,EEEFM JOSE MIGUEL LEAO,2007,2.3
25076590,EEEFM JOSE MIGUEL LEAO,2009,2.6
25076590,EEEFM JOSE MIGUEL LEAO,2011,2.8
25076590,EEEFM JOSE MIGUEL LEAO,2013,2.5
25076590,EEEFM JOSE MIGUEL LEAO,2015,3.2
25076930,EMEF SAO CLEMENTE,2009,3.1
25076930,EMEF SAO CLEMENTE,2011,2.2
