Cod_setor,Situacao_setor,Pessoas residentes,V002,V003,V004,V005,V006
250157505000013,5,584,253,28,2,301,0
250157505000014,5,505,225,4,2,274,0
250157505000015,4,160,X,X,X,X,X
250157505000016,5,168,79,2,0,87,0
250157505000017,5,276,101,13,11,151,0
250157505000018,5,9,X,X,X,X,X
250160905000001,1,586,271,32,9,274,0
250160905000002,1,415,109,4,12,290,0
250160905000003,1,500,240,57,8,195,0
250160905000004,1,780,377,11,0,392,0
250160905000005,1,603,212,41,30,320,0
250160905000006,1,440,165,83,27,165,0
250160905000007,1,837,373,19,8,436,1
250160905000008,1,548,213,7,0,328,0
250160905000009,8,614,209,9,0,396,0
250160905000010,8,1027,448,94,2,482,1
250160905000011,8,1045,355,59,30,601,0
250160905000012,8,672,143,26,15,488,0
250160905000013,8,312,135,3,0,174,0
250160905000014,8,875,325,16,12,522,0
250160905000015,8,500,83,46,4,367,0
250160905000016,8,723,286,27,19,391,0
250160905000017,5,297,103,16,0,178,0
250160905000018,5,136,56,26,6,48,0
250160905000019,1,681,219,8,0,454,0
250160905000020,1,506,182,21,8,293,2
250160905000021,1,239,107,21,2,109,0
250160905000022,1,605,284,33,8,280,0
250160905000023,1,627,191,23,8,405,0
250160905000024,1,273,98,11,0,164,0
250160905000025,1,316,92,8,3,213,0
250170805000001,1,506,428,5,1,72,0
250170805000002,1,529,348,99,4,78,0
250170805000003,8,444,393,35,0,16,0
250170805000004,8,449,302,63,2,82,0
250170805000005,8,492,309,3,0,180,0
250170805000006,8,921,373,33,16,499,0
250170805000007,5,187,110,0,0,77,0
250170805000008,5,754,229,12,7,506,0
250170805000009,1,507,381,0,0,126,0
250170805000010,1,822,302,9,3,508,0
250180705000001,1,229,102,4,5,118,0
250180705000002,1,982,359,34,19,568,2
250180705000003,1,659,283,117,23,236,0
250180705000004,1,797,328,18,1,450,0
250180705000005,1,754,271,36,23,421,3
250180705000006,1,988,421,101,21,439,6
250180705000007,1,779,330,134,54,261,0
250180705000008,1,562,177,59,10,316,0
250180705000009,1,854,345,51,23,434,1
250180705000010,1,1097,349,133,5,604,6
250180705000011,1,727,355,102,5,265,0
250180705000012,1,1525,457,185,7,862,14
250180705000013,1,1332,489,153,16,674,0
250180705000014,1,840,195,48,9,588,0
250180705000015,1,1145,393,135,34,582,1
250180705000016,1,872,294,188,2,388,0
250180705000017,1,1147,507,268,2,370,0
250180705000018,1,1148,500,58,13,570,7
250180705000019,1,1123,499,212,3,409,0
250180705000020,1,500,185,21,2,292,0
250180705000021,1,713,293,60,25,335,0
250180705000022,1,1264,421,135,9,699,0
250180705000023,1,767,292,56,4,415,0
250180705000024,1,1102,386,139,24,553,0
250180705000025,1,1152,356,142,117,532,5
250180705000026,1,917,297,81,21,506,12
250180705000027,1,790,224,18,0,548,0
250180705000028,1,1370,518,223,51,572,6
250180705000029,1,968,387,39,7,535,0
250180705000030,1,1185,243,29,9,904,0
250180705000031,1,1125,336,81,53,655,0
250180705000032,1,1045,350,133,38,524,0
250180705000033,1,809,303,139,19,345,3
250180705000034,1,1346,503,99,36,700,8
250180705000035,1,639,319,34,1,285,0
250180705000036,1,1066,343,44,27,652,0
250180705000037,1,273,110,9,6,148,0
250180705000038,1,630,263,74,15,277,1
250180705000039,1,662,221,56,20,360,5
250180705000040,1,352,131,59,14,147,1
250180705000041,1,1081,403,54,2,620,2
250180705000042,1,861,337,103,10,401,10
250180705000043,1,645,305,51,2,286,1
250180705000044,1,755,273,67,25,379,11
250180705000045,1,910,499,161,29,221,0
250180705000046,1,915,358,359,19,172,7
250180705000047,1,1087,235,190,135,525,2
250180705000048,1,250,57,6,3,184,0
250180705000049,1,1232,545,26,35,626,0
250180705000050,1,697,315,20,4,358,0
250180705000051,1,770,361,148,40,221,0
250180705000052,1,678,248,36,31,363,0
250180705000053,1,987,360,174,1,452,0
250180705000054,1,749,318,18,3,407,3
250180705000055,1,850,313,105,7,418,7
250180705000056,1,937,343,26,17,548,3
250180705000057,1,596,255,32,1,308,0
250180705000058,1,955,358,16,10,571,0
250180705000059,1,1082,418,100,23,540,1
250180705000060,1,871,260,34,34,543,0
250180705000061,1,995,351,131,28,485,0
250180705000062,1,1030,335,116,33,546,0
250180705000063,1,613,300,60,9,244,0
250180705000065,1,652,259,30,7,355,1
250180705000066,1,807,253,60,30,457,7
250180705000067,1,627,307,41,15,264,0
250180705000068,1,1039,363,145,21,497,13
250180705000069,1,800,306,103,12,364,15
250180705000070,1,1236,464,80,29,663,0
250180705000071,1,1147,405,55,17,670,0
250180705000072,1,878,447,96,5,330,0
250180705000073,1,692,215,28,8,439,2
250180705000074,1,896,301,156,35,404,0
250180705000075,1,474,136,147,0,191,0
250180705000076,1,317,102,6,0,209,0
250180705000077,1,548,189,16,25,315,3
250180705000078,1,650,219,50,22,355,4
250180705000079,1,825,286,135,38,358,8
250180705000080,1,663,248,76,22,314,3
250180705000081,1,38,20,3,2,13,0
250180705000082,1,474,189,35,6,239,5
250180705000083,1,42,12,8,5,10,7
250180705000085,1,682,260,34,0,387,1
250180705000086,1,281,96,15,13,156,1
250180705000087,1,210,94,9,1,106,0
250180705000088,1,605,240,75,19,271,0
250180705000089,1,813,310,47,6,443,7
250180705000091,1,592,254,69,11,236,22
250180705000092,8,923,289,105,1,524,4
250180705000094,1,616,240,57,13,306,0
250180705000095,1,436,163,146,14,113,0
250180705000096,1,432,117,73,22,220,0
250180705000097,1,335,154,6,0,175,0
250180705000098,1,1002,250,440,128,184,0
250180705000099,1,793,175,52,20,546,0
250180705000100,1,589,215,103,18,249,4
250180705000101,1,808,328,27,5,448,0
250180705000102,1,875,309,42,29,495,0
250180705000103,1,767,77,70,8,607,5
250180705000104,1,627,225,51,11,340,0
250180705000105,1,188,51,6,0,131,0
250180705000106,1,702,396,17,0,289,0
250180705000107,1,947,390,98,38,421,0
250180705000108,1,572,270,10,12,280,0
250180705000109,1,669,179,43,4,443,0
250180705000110,1,776,254,113,1,408,0
250180705000111,1,580,193,49,16,319,3
250180705000112,1,656,201,35,25,391,4
250180705000113,1,492,193,6,0,293,0
250180705000114,1,504,169,21,3,310,1
250180705000115,1,802,290,24,11,477,0
250180705000116,1,596,210,54,19,313,0
250180705000117,1,607,201,70,26,299,11
250180705000118,1,283,98,57,10,99,19
250180705000119,1,700,308,57,28,307,0
250180705000120,1,1210,422,84,36,644,24
250180705000121,1,1316,467,95,10,737,7
250180705000122,1,778,277,78,16,395,12
250180705000123,1,721,278,53,2,388,0
250180705000124,1,549,191,47,11,300,0
250180705000125,1,587,193,34,12,343,5
250180705000126,1,1075,92,53,4,924,2
250180705000127,1,929,349,56,4,520,0
250180705000128,1,2042,648,304,0,1089,1
250180705000129,1,727,202,84,15,426,0
250180705000130,1,126,24,2,9,91,0
250180705000131,1,36,8,0,1,27,0
250180705000132,1,278,89,16,16,157,0
250180705000133,1,247,74,16,2,155,0
250180705000134,1,49,17,11,0,21,0
250190605000001,1,737,262,7,0,468,0
250190605000002,1,735,304,51,7,373,0
250190605000003,1,925,369,30,7,519,0
250190605000004,1,694,316,28,6,344,0
250190605000005,1,575,229,2,0,344,0
250190605000006,1,938,336,8,9,585,0
250190605000007,1,817,302,16,22,477,0
250190605000008,1,933,324,6,1,602,0
250190605000009,1,872,289,2,0,581,0
250190605000010,1,910,320,8,8,574,0
250190605000011,1,511,175,3,0,333,0
250190605000012,1,1181,434,51,6,690,0
250190605000013,1,995,344,31,0,620,0
250190605000014,8,632,132,0,0,500,0
250190605000015,8,284,63,9,0,212,0
250190605000016,8,344,102,1,3,238,0
250190605000017,8,668,247,16,2,403,0
250190605000018,1,398,120,15,0,255,8
250190605000019,1,664,274,10,4,376,0
250190605000020,1,475,199,12,2,262,0
250190610000001,1,885,239,22,7,617,0
250190610000002,8,770,239,14,5,512,0
250190610000003,8,283,121,5,0,157,0
250190610000004,1,867,290,55,15,505,2
250200305000001,1,1038,383,33,30,592,0
250200305000002,1,657,211,58,43,345,0
250200305000003,1,659,280,8,5,366,0
250200305000004,1,845,333,8,3,501,0
250200305000005,8,89,31,0,4,54,0
250200305000006,8,138,52,14,0,72,0
